procedure,calls,inclusive_time,exclusive_time
R-BOARD-THE-BUS,15264192,97965.24848,97965.24848
FIND-PATH,341,10409.915778,10409.915778
B-BOARD-PASSENGER,14530,494.118986,471.929501
R-WAIT-FOR-BUS,3549049,808.134074,808.134074
B-MOVE-THE-BUS,137834,312.029558,312.029558
B-UNBOARD-PASSENGER,27956,43.332353,26.888164
GO,7200,147103.040844,675.737084
B-GO-TO-SAFE-ZONE,164,5632.043912,34.610217
B-SET-TARGET,177,54.966167,44.618336
B-CHECK-ARRIVE-AT-DESTINATION,137834,678.778175,678.778175
TEMPORAL-SCALE,316,4.94717,4.94717
B-DECIDE-FAR-TO-CLOSE,43,10.347831,10.347831
R-MOVE-WITH-BUS,5806358,401.764458,401.764458
GO-RESIDENTS,7200,133218.928036,30961.475788
B-DISCOUNT-WAIT-TIMER,42486,20.102591,20.102591
R-FIND-BUS-STOP,8905,33.857004,33.857004
R-WALK,1242536,761.199924,761.199924
R-DECIDE-TO-EVACUATE,7815205,1089.500298,1089.500298
R-CHECK-ARRIVE-AT-DESTINATION,1242536,1129.312894,1129.312894
B-RESET-WAIT-TIMER,316,18.531083,13.583913
B-DECIDE-TARGET-STOP,177,329.579419,274.613252
R-AT-SAFE-ZONE,8756,68.435116,68.435116
GO-BUSES,7200,13208.375724,903.08111
B-FIND-BUS-STOP,177,4815.412211,2.930128
